hour, t(sec), P1 (kW), Q1 (kvar)
1, 0.00000, 0.0376713, 0.018245
2, 0.00000, 0.0416908, 0.0201917
3, 0.00000, 0.0703055, 0.0340505
4, 0.00000, 0.147327, 0.0713571
5, 0.00000, 0.247163, 0.119724
6, 0.00000, 0.29463, 0.142707
7, 0.00000, 0.247172, 0.1197
8, 0.00000, 0.148385, 0.0718631
9, 0.00000, 0.0706918, 0.0342377
10, 0.00000, 0.0419218, 0.0203036
11, 0.00000, 0.0379076, 0.0183595
12, 0.00000, 0.0378492, 0.0183312
13, 0.00000, 0.0633134, 0.0306642
14, 0.00000, 0.133798, 0.06481
15, 0.00000, 0.228, 0.110416
16, 0.00000, 0.319151, 0.154573
17, 0.00000, 0.384602, 0.186287
18, 0.00000, 0.408591, 0.197891
19, 0.00000, 0.383542, 0.185754
20, 0.00000, 0.316454, 0.153257
21, 0.00000, 0.22421, 0.108585
22, 0.00000, 0.131275, 0.0635784
23, 0.00000, 0.0628027, 0.0304166
24, 0.00000, 0.0376467, 0.0182331
25, 0.00000, 0.0377258, 0.0182714
26, 0.00000, 0.0417575, 0.020224
27, 0.00000, 0.0704959, 0.0341426
28, 0.00000, 0.148171, 0.0717623
29, 0.00000, 0.249565, 0.120872
30, 0.00000, 0.298057, 0.144356
31, 0.00000, 0.249567, 0.120867
32, 0.00000, 0.148384, 0.0718642
33, 0.00000, 0.0706918, 0.0342377
34, 0.00000, 0.0419218, 0.0203036
35, 0.00000, 0.0379076, 0.0183595
36, 0.00000, 0.0378492, 0.0183312
37, 0.00000, 0.0636231, 0.0308155
38, 0.00000, 0.134021, 0.064915
39, 0.00000, 0.228001, 0.110414
40, 0.00000, 0.319151, 0.154573
41, 0.00000, 0.384602, 0.186287
42, 0.00000, 0.408591, 0.197891
43, 0.00000, 0.383542, 0.185754
44, 0.00000, 0.316454, 0.153257
45, 0.00000, 0.22421, 0.108585
46, 0.00000, 0.131275, 0.0635784
47, 0.00000, 0.0628027, 0.0304166
48, 0.00000, 0.0376467, 0.0182331
49, 0.00000, 0.0377258, 0.0182714
50, 0.00000, 0.0417575, 0.020224
51, 0.00000, 0.0704959, 0.0341426
52, 0.00000, 0.148171, 0.0717623
53, 0.00000, 0.249565, 0.120872
54, 0.00000, 0.298057, 0.144356
55, 0.00000, 0.249567, 0.120867
56, 0.00000, 0.148384, 0.0718642
57, 0.00000, 0.0706918, 0.0342377
58, 0.00000, 0.0419218, 0.0203036
59, 0.00000, 0.0379076, 0.0183595
60, 0.00000, 0.0378492, 0.0183312
61, 0.00000, 0.0634562, 0.0307339
62, 0.00000, 0.133727, 0.0647722
63, 0.00000, 0.228001, 0.110417
64, 0.00000, 0.319151, 0.154573
65, 0.00000, 0.384602, 0.186287
66, 0.00000, 0.408591, 0.197891
67, 0.00000, 0.383542, 0.185754
68, 0.00000, 0.316454, 0.153257
69, 0.00000, 0.22421, 0.108585
70, 0.00000, 0.131275, 0.0635784
71, 0.00000, 0.0628027, 0.0304166
72, 0.00000, 0.0376467, 0.0182331
73, 0.00000, 0.0377258, 0.0182714
74, 0.00000, 0.0417575, 0.020224
75, 0.00000, 0.0704959, 0.0341426
76, 0.00000, 0.148171, 0.0717623
77, 0.00000, 0.249565, 0.120872
78, 0.00000, 0.298057, 0.144356
79, 0.00000, 0.249567, 0.120867
80, 0.00000, 0.0376713, 0.018245
81, 0.00000, 0.0416908, 0.0201917
82, 0.00000, 0.0703055, 0.0340505
83, 0.00000, 0.147327, 0.0713571
84, 0.00000, 0.247163, 0.119724
85, 0.00000, 0.29463, 0.142707
86, 0.00000, 0.247172, 0.1197
87, 0.00000, 0.148385, 0.0718631
88, 0.00000, 0.0706918, 0.0342377
89, 0.00000, 0.0419218, 0.0203036
90, 0.00000, 0.0379076, 0.0183595
91, 0.00000, 0.0378492, 0.0183312
92, 0.00000, 0.0633134, 0.0306642
93, 0.00000, 0.133798, 0.06481
94, 0.00000, 0.228, 0.110416
95, 0.00000, 0.319151, 0.154573
96, 0.00000, 0.384602, 0.186287
97, 0.00000, 0.408591, 0.197891
98, 0.00000, 0.383542, 0.185754
99, 0.00000, 0.316454, 0.153257
100, 0.00000, 0.22421, 0.108585
101, 0.00000, 0.131275, 0.0635784
102, 0.00000, 0.0628027, 0.0304166
103, 0.00000, 0.0376467, 0.0182331
104, 0.00000, 0.0377258, 0.0182714
105, 0.00000, 0.0417575, 0.020224
106, 0.00000, 0.0704959, 0.0341426
107, 0.00000, 0.148171, 0.0717623
108, 0.00000, 0.249565, 0.120872
109, 0.00000, 0.298057, 0.144356
110, 0.00000, 0.249567, 0.120867
111, 0.00000, 0.148384, 0.0718642
112, 0.00000, 0.0706918, 0.0342377
113, 0.00000, 0.0419218, 0.0203036
114, 0.00000, 0.0379076, 0.0183595
115, 0.00000, 0.0378492, 0.0183312
116, 0.00000, 0.0636231, 0.0308155
117, 0.00000, 0.134021, 0.064915
118, 0.00000, 0.228001, 0.110414
119, 0.00000, 0.319151, 0.154573
120, 0.00000, 0.384602, 0.186287
121, 0.00000, 0.408591, 0.197891
122, 0.00000, 0.383542, 0.185754
123, 0.00000, 0.316454, 0.153257
124, 0.00000, 0.22421, 0.108585
125, 0.00000, 0.131275, 0.0635784
126, 0.00000, 0.0628027, 0.0304166
127, 0.00000, 0.0376467, 0.0182331
128, 0.00000, 0.0377258, 0.0182714
129, 0.00000, 0.0417575, 0.020224
130, 0.00000, 0.0704959, 0.0341426
131, 0.00000, 0.148171, 0.0717623
132, 0.00000, 0.249565, 0.120872
133, 0.00000, 0.298057, 0.144356
134, 0.00000, 0.249567, 0.120867
135, 0.00000, 0.148384, 0.0718642
136, 0.00000, 0.0706918, 0.0342377
137, 0.00000, 0.0419218, 0.0203036
138, 0.00000, 0.0379076, 0.0183595
139, 0.00000, 0.0378492, 0.0183312
140, 0.00000, 0.0634562, 0.0307339
141, 0.00000, 0.133727, 0.0647722
142, 0.00000, 0.228001, 0.110417
143, 0.00000, 0.319151, 0.154573
144, 0.00000, 0.384602, 0.186287
145, 0.00000, 0.408591, 0.197891
146, 0.00000, 0.383542, 0.185754
147, 0.00000, 0.316454, 0.153257
148, 0.00000, 0.22421, 0.108585
149, 0.00000, 0.131275, 0.0635784
150, 0.00000, 0.0628027, 0.0304166
151, 0.00000, 0.0376467, 0.0182331
152, 0.00000, 0.0377258, 0.0182714
153, 0.00000, 0.0417575, 0.020224
154, 0.00000, 0.0704959, 0.0341426
155, 0.00000, 0.148171, 0.0717623
156, 0.00000, 0.249565, 0.120872
157, 0.00000, 0.298057, 0.144356
158, 0.00000, 0.249567, 0.120867
159, 0.00000, 0.0376713, 0.018245
160, 0.00000, 0.0416908, 0.0201917
161, 0.00000, 0.0703055, 0.0340505
162, 0.00000, 0.147327, 0.0713571
163, 0.00000, 0.247163, 0.119724
164, 0.00000, 0.29463, 0.142707
165, 0.00000, 0.247172, 0.1197
166, 0.00000, 0.148385, 0.0718631
167, 0.00000, 0.0706918, 0.0342377
168, 0.00000, 0.0419218, 0.0203036
169, 0.00000, 0.0379076, 0.0183595
170, 0.00000, 0.0378492, 0.0183312
171, 0.00000, 0.0633134, 0.0306642
172, 0.00000, 0.133798, 0.06481
173, 0.00000, 0.228, 0.110416
174, 0.00000, 0.319151, 0.154573
175, 0.00000, 0.384602, 0.186287
176, 0.00000, 0.408591, 0.197891
177, 0.00000, 0.383542, 0.185754
178, 0.00000, 0.316454, 0.153257
179, 0.00000, 0.22421, 0.108585
180, 0.00000, 0.131275, 0.0635784
181, 0.00000, 0.0628027, 0.0304166
182, 0.00000, 0.0376467, 0.0182331
183, 0.00000, 0.0377258, 0.0182714
184, 0.00000, 0.0417575, 0.020224
185, 0.00000, 0.0704959, 0.0341426
186, 0.00000, 0.148171, 0.0717623
187, 0.00000, 0.249565, 0.120872
188, 0.00000, 0.298057, 0.144356
189, 0.00000, 0.249567, 0.120867
190, 0.00000, 0.148384, 0.0718642
191, 0.00000, 0.0706918, 0.0342377
192, 0.00000, 0.0419218, 0.0203036
193, 0.00000, 0.0379076, 0.0183595
194, 0.00000, 0.0378492, 0.0183312
195, 0.00000, 0.0636231, 0.0308155
196, 0.00000, 0.134021, 0.064915
197, 0.00000, 0.228001, 0.110414
198, 0.00000, 0.319151, 0.154573
199, 0.00000, 0.384602, 0.186287
200, 0.00000, 0.408591, 0.197891
201, 0.00000, 0.383542, 0.185754
202, 0.00000, 0.316454, 0.153257
203, 0.00000, 0.22421, 0.108585
204, 0.00000, 0.131275, 0.0635784
205, 0.00000, 0.0628027, 0.0304166
206, 0.00000, 0.0376467, 0.0182331
207, 0.00000, 0.0377258, 0.0182714
208, 0.00000, 0.0417575, 0.020224
209, 0.00000, 0.0704959, 0.0341426
210, 0.00000, 0.148171, 0.0717623
211, 0.00000, 0.249565, 0.120872
212, 0.00000, 0.298057, 0.144356
213, 0.00000, 0.249567, 0.120867
214, 0.00000, 0.148384, 0.0718642
215, 0.00000, 0.0706918, 0.0342377
216, 0.00000, 0.0419218, 0.0203036
217, 0.00000, 0.0379076, 0.0183595
218, 0.00000, 0.0378492, 0.0183312
219, 0.00000, 0.0634562, 0.0307339
220, 0.00000, 0.133727, 0.0647722
221, 0.00000, 0.228001, 0.110417
222, 0.00000, 0.319151, 0.154573
223, 0.00000, 0.384602, 0.186287
224, 0.00000, 0.408591, 0.197891
225, 0.00000, 0.383542, 0.185754
226, 0.00000, 0.316454, 0.153257
227, 0.00000, 0.22421, 0.108585
228, 0.00000, 0.131275, 0.0635784
229, 0.00000, 0.0628027, 0.0304166
230, 0.00000, 0.0376467, 0.0182331
231, 0.00000, 0.0377258, 0.0182714
232, 0.00000, 0.0417575, 0.020224
233, 0.00000, 0.0704959, 0.0341426
234, 0.00000, 0.148171, 0.0717623
235, 0.00000, 0.249565, 0.120872
236, 0.00000, 0.298057, 0.144356
237, 0.00000, 0.249567, 0.120867
238, 0.00000, 0.0376713, 0.018245
239, 0.00000, 0.0416908, 0.0201917
240, 0.00000, 0.0703055, 0.0340505
241, 0.00000, 0.147327, 0.0713571
242, 0.00000, 0.247163, 0.119724
243, 0.00000, 0.29463, 0.142707
244, 0.00000, 0.247172, 0.1197
245, 0.00000, 0.148385, 0.0718631
246, 0.00000, 0.0706918, 0.0342377
247, 0.00000, 0.0419218, 0.0203036
248, 0.00000, 0.0379076, 0.0183595
249, 0.00000, 0.0378492, 0.0183312
250, 0.00000, 0.0633134, 0.0306642
251, 0.00000, 0.133798, 0.06481
252, 0.00000, 0.228, 0.110416
253, 0.00000, 0.319151, 0.154573
254, 0.00000, 0.384602, 0.186287
255, 0.00000, 0.408591, 0.197891
256, 0.00000, 0.383542, 0.185754
257, 0.00000, 0.316454, 0.153257
258, 0.00000, 0.22421, 0.108585
259, 0.00000, 0.131275, 0.0635784
260, 0.00000, 0.0628027, 0.0304166
261, 0.00000, 0.0376467, 0.0182331
262, 0.00000, 0.0377258, 0.0182714
263, 0.00000, 0.0417575, 0.020224
264, 0.00000, 0.0704959, 0.0341426
265, 0.00000, 0.148171, 0.0717623
266, 0.00000, 0.249565, 0.120872
267, 0.00000, 0.298057, 0.144356
268, 0.00000, 0.249567, 0.120867
269, 0.00000, 0.148384, 0.0718642
270, 0.00000, 0.0706918, 0.0342377
271, 0.00000, 0.0419218, 0.0203036
272, 0.00000, 0.0379076, 0.0183595
273, 0.00000, 0.0378492, 0.0183312
274, 0.00000, 0.0636231, 0.0308155
275, 0.00000, 0.134021, 0.064915
276, 0.00000, 0.228001, 0.110414
277, 0.00000, 0.319151, 0.154573
278, 0.00000, 0.384602, 0.186287
279, 0.00000, 0.408591, 0.197891
280, 0.00000, 0.383542, 0.185754
281, 0.00000, 0.316454, 0.153257
282, 0.00000, 0.22421, 0.108585
283, 0.00000, 0.131275, 0.0635784
284, 0.00000, 0.0628027, 0.0304166
285, 0.00000, 0.0376467, 0.0182331
286, 0.00000, 0.0377258, 0.0182714
287, 0.00000, 0.0417575, 0.020224
288, 0.00000, 0.0704959, 0.0341426
289, 0.00000, 0.148171, 0.0717623
290, 0.00000, 0.249565, 0.120872
291, 0.00000, 0.298057, 0.144356
292, 0.00000, 0.249567, 0.120867
293, 0.00000, 0.148384, 0.0718642
294, 0.00000, 0.0706918, 0.0342377
295, 0.00000, 0.0419218, 0.0203036
296, 0.00000, 0.0379076, 0.0183595
297, 0.00000, 0.0378492, 0.0183312
298, 0.00000, 0.0634562, 0.0307339
299, 0.00000, 0.133727, 0.0647722
300, 0.00000, 0.228001, 0.110417
301, 0.00000, 0.319151, 0.154573
302, 0.00000, 0.384602, 0.186287
303, 0.00000, 0.408591, 0.197891
304, 0.00000, 0.383542, 0.185754
305, 0.00000, 0.316454, 0.153257
306, 0.00000, 0.22421, 0.108585
307, 0.00000, 0.131275, 0.0635784
308, 0.00000, 0.0628027, 0.0304166
309, 0.00000, 0.0376467, 0.0182331
310, 0.00000, 0.0377258, 0.0182714
311, 0.00000, 0.0417575, 0.020224
312, 0.00000, 0.0704959, 0.0341426
313, 0.00000, 0.148171, 0.0717623
314, 0.00000, 0.249565, 0.120872
315, 0.00000, 0.298057, 0.144356
316, 0.00000, 0.249567, 0.120867
317, 0.00000, 0.0376713, 0.018245
318, 0.00000, 0.0416908, 0.0201917
319, 0.00000, 0.0703055, 0.0340505
320, 0.00000, 0.147327, 0.0713571
321, 0.00000, 0.247163, 0.119724
322, 0.00000, 0.29463, 0.142707
323, 0.00000, 0.247172, 0.1197
324, 0.00000, 0.148385, 0.0718631
325, 0.00000, 0.0706918, 0.0342377
326, 0.00000, 0.0419218, 0.0203036
327, 0.00000, 0.0379076, 0.0183595
328, 0.00000, 0.0378492, 0.0183312
329, 0.00000, 0.0633134, 0.0306642
330, 0.00000, 0.133798, 0.06481
331, 0.00000, 0.228, 0.110416
332, 0.00000, 0.319151, 0.154573
333, 0.00000, 0.384602, 0.186287
334, 0.00000, 0.408591, 0.197891
335, 0.00000, 0.383542, 0.185754
336, 0.00000, 0.316454, 0.153257
337, 0.00000, 0.22421, 0.108585
338, 0.00000, 0.131275, 0.0635784
339, 0.00000, 0.0628027, 0.0304166
340, 0.00000, 0.0376467, 0.0182331
341, 0.00000, 0.0377258, 0.0182714
342, 0.00000, 0.0417575, 0.020224
343, 0.00000, 0.0704959, 0.0341426
344, 0.00000, 0.148171, 0.0717623
345, 0.00000, 0.249565, 0.120872
346, 0.00000, 0.298057, 0.144356
347, 0.00000, 0.249567, 0.120867
348, 0.00000, 0.148384, 0.0718642
349, 0.00000, 0.0706918, 0.0342377
350, 0.00000, 0.0419218, 0.0203036
351, 0.00000, 0.0379076, 0.0183595
352, 0.00000, 0.0378492, 0.0183312
353, 0.00000, 0.0636231, 0.0308155
354, 0.00000, 0.134021, 0.064915
355, 0.00000, 0.228001, 0.110414
356, 0.00000, 0.319151, 0.154573
357, 0.00000, 0.384602, 0.186287
358, 0.00000, 0.408591, 0.197891
359, 0.00000, 0.383542, 0.185754
360, 0.00000, 0.316454, 0.153257
361, 0.00000, 0.22421, 0.108585
362, 0.00000, 0.131275, 0.0635784
363, 0.00000, 0.0628027, 0.0304166
