hour, t(sec), P1 (kW), Q1 (kvar)
1, 0.00000, 0.075341, 0.0364891
2, 0.00000, 0.0833796, 0.0403823
3, 0.00000, 0.140605, 0.0680978
4, 0.00000, 0.294629, 0.1427
5, 0.00000, 0.494256, 0.239409
6, 0.00000, 0.58916, 0.285357
7, 0.00000, 0.494275, 0.239359
8, 0.00000, -0.011915, -0.00576916
9, 0.00000, -0.240401, -0.116437
10, 0.00000, -0.399086, -0.193298
11, 0.00000, -0.502818, -0.24354
12, 0.00000, -0.565615, -0.273957
13, 0.00000, -0.562522, -0.272465
14, 0.00000, -0.58057, -0.281262
15, 0.00000, -0.630296, -0.305251
16, 0.00000, -0.237917, -0.115235
17, 0.00000, 0.0774589, 0.0375151
18, 0.00000, 0.249977, 0.12107
19, 0.00000, 0.38352, 0.185741
20, 0.00000, 0.316438, 0.153249
21, 0.00000, 0.224202, 0.108581
22, 0.00000, 0.131273, 0.063577
23, 0.00000, 0.0628021, 0.0304162
24, 0.00000, 0.0376465, 0.0182329
25, 0.00000, 0.0377256, 0.0182713
26, 0.00000, 0.0417572, 0.0202239
27, 0.00000, 0.0704951, 0.0341421
28, 0.00000, 0.148167, 0.0717602
29, 0.00000, 0.249556, 0.120866
30, 0.00000, 0.298044, 0.144348
31, 0.00000, 0.249558, 0.120862
32, 0.00000, -0.0119147, -0.00577001
33, 0.00000, -0.240401, -0.116437
34, 0.00000, -0.399086, -0.193298
35, 0.00000, -0.502818, -0.24354
36, 0.00000, -0.565615, -0.273957
37, 0.00000, -1.0538, -0.510492
38, 0.00000, -0.95308, -0.461703
39, 0.00000, -0.6303, -0.305245
40, 0.00000, -0.237917, -0.115235
41, 0.00000, 0.0774589, 0.0375151
42, 0.00000, 0.249977, 0.12107
43, 0.00000, 0.38352, 0.185741
44, 0.00000, 0.316438, 0.153249
45, 0.00000, 0.224202, 0.108581
46, 0.00000, 0.131273, 0.063577
47, 0.00000, 0.0628021, 0.0304162
48, 0.00000, 0.0376465, 0.0182329
49, 0.00000, 0.0377256, 0.0182713
50, 0.00000, 0.0417572, 0.0202239
51, 0.00000, 0.0704951, 0.0341421
52, 0.00000, 0.148167, 0.0717602
53, 0.00000, 0.249556, 0.120866
54, 0.00000, 0.298044, 0.144348
55, 0.00000, 0.249558, 0.120862
56, 0.00000, -0.0119147, -0.00577001
57, 0.00000, -0.240401, -0.116437
58, 0.00000, -0.399086, -0.193298
59, 0.00000, -0.502818, -0.24354
60, 0.00000, -0.565615, -0.273957
61, 0.00000, -0.563787, -0.273089
62, 0.00000, -0.950993, -0.460685
63, 0.00000, -0.630297, -0.305257
64, 0.00000, -0.237917, -0.115235
65, 0.00000, 0.0774589, 0.0375151
66, 0.00000, 0.249977, 0.12107
67, 0.00000, 0.38352, 0.185741
68, 0.00000, 0.316438, 0.153249
69, 0.00000, 0.224202, 0.108581
70, 0.00000, 0.131273, 0.063577
71, 0.00000, 0.0628021, 0.0304162
72, 0.00000, 0.0376465, 0.0182329
73, 0.00000, 0.0377256, 0.0182713
